"Chronic Absenteeism"
7/1/2024

Year,Level,Division,School,Subgroup,"Count Below 10","Count Above 10","Percent Below 10","Percent above 10"
"2021 - 2022",SCH,"Albemarle County Public Schools","Scottsville Elementary",Female,77,17,81.9,18.1
"2021 - 2022",SCH,"Albemarle County Public Schools","Scottsville Elementary",Hispanic,16,1,94.1,5.9
"2021 - 2022",SCH,"Albemarle County Public Schools","Scottsville Elementary",Homeless,<,<,,
"2021 - 2022",SCH,"Albemarle County Public Schools","Scottsville Elementary",Male,95,12,88.8,11.2
"2021 - 2022",SCH,"Albemarle County Public Schools","Scottsville Elementary","Multiple Races",12,1,92.3,7.7
"2021 - 2022",SCH,"Albemarle County Public Schools","Scottsville Elementary","Students with Disabilities",25,4,86.2,13.8
"2021 - 2022",SCH,"Albemarle County Public Schools","Scottsville Elementary",White,124,19,86.7,13.3
"2021 - 2022",SCH,"Albemarle County Public Schools","Stone Robinson Elementary","All Students",377,63,85.7,14.3
"2021 - 2022",SCH,"Albemarle County Public Schools","Stone Robinson Elementary",Asian,20,1,95.2,4.8
"2021 - 2022",SCH,"Albemarle County Public Schools","Stone Robinson Elementary",Black,42,3,93.3,6.7
"2021 - 2022",SCH,"Albemarle County Public Schools","Stone Robinson Elementary","Economically Disadvantaged",82,38,68.3,31.7
"2021 - 2022",SCH,"Albemarle County Public Schools","Stone Robinson Elementary","English Learners",23,6,79.3,20.7
"2021 - 2022",SCH,"Albemarle County Public Schools","Stone Robinson Elementary",Female,202,30,87.1,12.9
"2021 - 2022",SCH,"Albemarle County Public Schools","Stone Robinson Elementary",Hispanic,37,13,74,26
"2021 - 2022",SCH,"Albemarle County Public Schools","Stone Robinson Elementary",Male,175,32,84.5,15.5
"2021 - 2022",SCH,"Albemarle County Public Schools","Stone Robinson Elementary","Multiple Races",44,7,86.3,13.7
"2021 - 2022",SCH,"Albemarle County Public Schools","Stone Robinson Elementary","Students with Disabilities",45,15,75,25
"2021 - 2022",SCH,"Albemarle County Public Schools","Stone Robinson Elementary",White,234,39,85.7,14.3
"2021 - 2022",SCH,"Albemarle County Public Schools","Stony Point Elementary","All Students",158,27,85.4,14.6
"2021 - 2022",SCH,"Albemarle County Public Schools","Stony Point Elementary",Asian,<,<,100,0
"2021 - 2022",SCH,"Albemarle County Public Schools","Stony Point Elementary",Black,20,12,62.5,37.5
"2021 - 2022",SCH,"Albemarle County Public Schools","Stony Point Elementary","Economically Disadvantaged",46,14,76.7,23.3
"2021 - 2022",SCH,"Albemarle County Public Schools","Stony Point Elementary","English Learners",<,<,83.3,16.7
"2021 - 2022",SCH,"Albemarle County Public Schools","Stony Point Elementary",Female,79,15,84,16
"2021 - 2022",SCH,"Albemarle County Public Schools","Stony Point Elementary",Hispanic,13,3,81.3,18.7
"2021 - 2022",SCH,"Albemarle County Public Schools","Stony Point Elementary",Homeless,<,<,,
"2021 - 2022",SCH,"Albemarle County Public Schools","Stony Point Elementary",Male,79,12,86.8,13.2
"2021 - 2022",SCH,"Albemarle County Public Schools","Stony Point Elementary","Multiple Races",16,1,94.1,5.9
"2021 - 2022",SCH,"Albemarle County Public Schools","Stony Point Elementary","Students with Disabilities",11,3,78.6,21.4
"2021 - 2022",SCH,"Albemarle County Public Schools","Stony Point Elementary",White,102,11,90.3,9.7
"2021 - 2022",SCH,"Albemarle County Public Schools","Virginia L. Murray Elementary","All Students",242,16,93.8,6.2
"2021 - 2022",SCH,"Albemarle County Public Schools","Virginia L. Murray Elementary","American Indian",<,<,,
"2021 - 2022",SCH,"Albemarle County Public Schools","Virginia L. Murray Elementary",Asian,23,0,100,0
"2021 - 2022",SCH,"Albemarle County Public Schools","Virginia L. Murray Elementary",Black,10,2,83.3,16.7
"2021 - 2022",SCH,"Albemarle County Public Schools","Virginia L. Murray Elementary","Economically Disadvantaged",17,7,70.8,29.2
"2021 - 2022",SCH,"Albemarle County Public Schools","Virginia L. Murray Elementary","English Learners",9,1,90,10
"2021 - 2022",SCH,"Albemarle County Public Schools","Virginia L. Murray Elementary",Female,120,11,91.6,8.4
"2021 - 2022",SCH,"Albemarle County Public Schools","Virginia L. Murray Elementary",Hispanic,12,1,92.3,7.7
"2021 - 2022",SCH,"Albemarle County Public Schools","Virginia L. Murray Elementary",Male,122,5,96.1,3.9
"2021 - 2022",SCH,"Albemarle County Public Schools","Virginia L. Murray Elementary","Multiple Races",21,2,91.3,8.7
"2021 - 2022",SCH,"Albemarle County Public Schools","Virginia L. Murray Elementary","Native Hawaiian",<,<,,
"2021 - 2022",SCH,"Albemarle County Public Schools","Virginia L. Murray Elementary","Students with Disabilities",20,3,87,13
"2021 - 2022",SCH,"Albemarle County Public Schools","Virginia L. Murray Elementary",White,173,11,94,6
"2021 - 2022",SCH,"Albemarle County Public Schools","Western Albemarle High","All Students",995,145,87.3,12.7
"2021 - 2022",SCH,"Albemarle County Public Schools","Western Albemarle High","American Indian",<,<,,
"2021 - 2022",SCH,"Albemarle County Public Schools","Western Albemarle High",Asian,38,2,95,5
"2021 - 2022",SCH,"Albemarle County Public Schools","Western Albemarle High",Black,12,4,75,25
"2021 - 2022",SCH,"Albemarle County Public Schools","Western Albemarle High","Economically Disadvantaged",88,50,63.8,36.2
"2021 - 2022",SCH,"Albemarle County Public Schools","Western Albemarle High","English Learners",<,<,77.8,22.2
"2021 - 2022",SCH,"Albemarle County Public Schools","Western Albemarle High",Female,460,62,88.1,11.9
"2021 - 2022",SCH,"Albemarle County Public Schools","Western Albemarle High",Hispanic,53,14,79.1,20.9
"2021 - 2022",SCH,"Albemarle County Public Schools","Western Albemarle High",Homeless,<,<,,
"2021 - 2022",SCH,"Albemarle County Public Schools","Western Albemarle High",Male,535,83,86.6,13.4
"2021 - 2022",SCH,"Albemarle County Public Schools","Western Albemarle High","Multiple Races",30,8,78.9,21.1
"2021 - 2022",SCH,"Albemarle County Public Schools","Western Albemarle High","Native Hawaiian",<,<,,
"2021 - 2022",SCH,"Albemarle County Public Schools","Western Albemarle High","Students with Disabilities",99,35,73.9,26.1
"2021 - 2022",SCH,"Albemarle County Public Schools","Western Albemarle High",White,858,117,88,12
"2021 - 2022",SCH,"Albemarle County Public Schools","Woodbrook Elementary","All Students",357,176,67,33
"2021 - 2022",SCH,"Albemarle County Public Schools","Woodbrook Elementary",Asian,39,7,84.8,15.2
"2021 - 2022",SCH,"Albemarle County Public Schools","Woodbrook Elementary",Black,113,72,61.1,38.9
"2021 - 2022",SCH,"Albemarle County Public Schools","Woodbrook Elementary","Economically Disadvantaged",176,134,56.8,43.2
"2021 - 2022",SCH,"Albemarle County Public Schools","Woodbrook Elementary","English Learners",79,57,58.1,41.9
"2021 - 2022",SCH,"Albemarle County Public Schools","Woodbrook Elementary",Female,171,102,62.6,37.4
"2021 - 2022",SCH,"Albemarle County Public Schools","Woodbrook Elementary",Hispanic,74,54,57.8,42.2
"2021 - 2022",SCH,"Albemarle County Public Schools","Woodbrook Elementary",Homeless,3,9,,
"2021 - 2022",SCH,"Albemarle County Public Schools","Woodbrook Elementary",Male,186,74,71.5,28.5
"2021 - 2022",SCH,"Albemarle County Public Schools","Woodbrook Elementary","Multiple Races",22,14,61.1,38.9
"2021 - 2022",SCH,"Albemarle County Public Schools","Woodbrook Elementary","Students with Disabilities",39,21,65,35
"2021 - 2022",SCH,"Albemarle County Public Schools","Woodbrook Elementary",White,109,29,79,21
"2022 - 2023",SCH,"Albemarle County Public Schools","Agnor-Hurt Elementary","All Students",317,88,78.3,21.7
"2022 - 2023",SCH,"Albemarle County Public Schools","Agnor-Hurt Elementary",Asian,21,8,72.4,27.6
"2022 - 2023",SCH,"Albemarle County Public Schools","Agnor-Hurt Elementary",Black,66,18,78.6,21.4
"2022 - 2023",SCH,"Albemarle County Public Schools","Agnor-Hurt Elementary","Economically Disadvantaged",149,47,76,24
"2022 - 2023",SCH,"Albemarle County Public Schools","Agnor-Hurt Elementary","English Learners",89,27,76.7,23.3
"2022 - 2023",SCH,"Albemarle County Public Schools","Agnor-Hurt Elementary",Female,156,37,80.8,19.2
"2022 - 2023",SCH,"Albemarle County Public Schools","Agnor-Hurt Elementary",Hispanic,87,29,75,25
"2022 - 2023",SCH,"Albemarle County Public Schools","Agnor-Hurt Elementary",Homeless,<,<,,
"2022 - 2023",SCH,"Albemarle County Public Schools","Agnor-Hurt Elementary",Male,161,51,75.9,24.1
"2022 - 2023",SCH,"Albemarle County Public Schools","Agnor-Hurt Elementary","Multiple Races",27,7,79.4,20.6
"2022 - 2023",SCH,"Albemarle County Public Schools","Agnor-Hurt Elementary","Students with Disabilities",30,16,65.2,34.8
"2022 - 2023",SCH,"Albemarle County Public Schools","Agnor-Hurt Elementary",White,116,26,81.7,18.3
"2022 - 2023",SCH,"Albemarle County Public Schools","Albemarle High","All Students",1588,373,81,19
"2022 - 2023",SCH,"Albemarle County Public Schools","Albemarle High","American Indian",<,<,,
"2022 - 2023",SCH,"Albemarle County Public Schools","Albemarle High",Asian,146,9,94.2,5.8
"2022 - 2023",SCH,"Albemarle County Public Schools","Albemarle High",Black,230,88,72.3,27.7
"2022 - 2023",SCH,"Albemarle County Public Schools","Albemarle High","Economically Disadvantaged",479,220,68.5,31.5
"2022 - 2023",SCH,"Albemarle County Public Schools","Albemarle High","English Learners",180,95,65.5,34.5
"2022 - 2023",SCH,"Albemarle County Public Schools","Albemarle High",Female,750,199,79,21
"2022 - 2023",SCH,"Albemarle County Public Schools","Albemarle High",Hispanic,262,120,68.6,31.4
"2022 - 2023",SCH,"Albemarle County Public Schools","Albemarle High",Homeless,7,13,,
"2022 - 2023",SCH,"Albemarle County Public Schools","Albemarle High",Male,836,171,83,17
"2022 - 2023",SCH,"Albemarle County Public Schools","Albemarle High","Multiple Races",103,31,76.9,23.1
"2022 - 2023",SCH,"Albemarle County Public Schools","Albemarle High","Students with Disabilities",161,39,80.5,19.5
"2022 - 2023",SCH,"Albemarle County Public Schools","Albemarle High",White,845,125,87.1,12.9
"2022 - 2023",SCH,"Albemarle County Public Schools","Baker-Butler Elem","All Students",617,125,83.2,16.8
"2022 - 2023",SCH,"Albemarle County Public Schools","Baker-Butler Elem","American Indian",<,<,,
"2022 - 2023",SCH,"Albemarle County Public Schools","Baker-Butler Elem",Asian,68,12,85,15
"2022 - 2023",SCH,"Albemarle County Public Schools","Baker-Butler Elem",Black,61,15,80.3,19.7
"2022 - 2023",SCH,"Albemarle County Public Schools","Baker-Butler Elem","Economically Disadvantaged",165,64,72.1,27.9
"2022 - 2023",SCH,"Albemarle County Public Schools","Baker-Butler Elem","English Learners",95,20,82.6,17.4
"2022 - 2023",SCH,"Albemarle County Public Schools","Baker-Butler Elem",Female,323,60,84.3,15.7
"2022 - 2023",SCH,"Albemarle County Public Schools","Baker-Butler Elem",Hispanic,92,26,78,22
"2022 - 2023",SCH,"Albemarle County Public Schools","Baker-Butler Elem",Homeless,<,<,,
"2022 - 2023",SCH,"Albemarle County Public Schools","Baker-Butler Elem",Male,294,65,81.9,18.1
"2022 - 2023",SCH,"Albemarle County Public Schools","Baker-Butler Elem","Multiple Races",70,17,80.5,19.5
"2022 - 2023",SCH,"Albemarle County Public Schools","Baker-Butler Elem","Native Hawaiian",<,<,,
"2022 - 2023",SCH,"Albemarle County Public Schools","Baker-Butler Elem","Students with Disabilities",66,23,74.2,25.8
"2022 - 2023",SCH,"Albemarle County Public Schools","Baker-Butler Elem",White,323,55,85.4,14.6
"2022 - 2023",SCH,"Albemarle County Public Schools","Broadus Wood Elementary","All Students",219,47,82.3,17.7
"2022 - 2023",SCH,"Albemarle County Public Schools","Broadus Wood Elementary",Asian,<,<,66.7,33.3
"2022 - 2023",SCH,"Albemarle County Public Schools","Broadus Wood Elementary",Black,<,<,50,50
"2022 - 2023",SCH,"Albemarle County Public Schools","Broadus Wood Elementary","Economically Disadvantaged",34,16,68,32
"2022 - 2023",SCH,"Albemarle County Public Schools","Broadus Wood Elementary","English Learners",6,6,50,50
"2022 - 2023",SCH,"Albemarle County Public Schools","Broadus Wood Elementary",Female,112,21,84.2,15.8
"2022 - 2023",SCH,"Albemarle County Public Schools","Broadus Wood Elementary",Hispanic,11,12,47.8,52.2
"2022 - 2023",SCH,"Albemarle County Public Schools","Broadus Wood Elementary",Male,107,26,80.5,19.5
"2022 - 2023",SCH,"Albemarle County Public Schools","Broadus Wood Elementary","Multiple Races",14,1,93.3,6.7
"2022 - 2023",SCH,"Albemarle County Public Schools","Broadus Wood Elementary","Students with Disabilities",21,9,70,30
"2022 - 2023",SCH,"Albemarle County Public Schools","Broadus Wood Elementary",White,190,31,86,14
"2022 - 2023",SCH,"Albemarle County Public Schools","Brownsville Elementary","All Students",499,80,86.2,13.8
"2022 - 2023",SCH,"Albemarle County Public Schools","Brownsville Elementary",Asian,24,5,82.8,17.2
"2022 - 2023",SCH,"Albemarle County Public Schools","Brownsville Elementary",Black,16,1,94.1,5.9
"2022 - 2023",SCH,"Albemarle County Public Schools","Brownsville Elementary","Economically Disadvantaged",72,30,70.6,29.4
"2022 - 2023",SCH,"Albemarle County Public Schools","Brownsville Elementary","English Learners",10,3,76.9,23.1
"2022 - 2023",SCH,"Albemarle County Public Schools","Brownsville Elementary",Female,245,39,86.3,13.7
"2022 - 2023",SCH,"Albemarle County Public Schools","Brownsville Elementary",Hispanic,24,4,85.7,14.3
"2022 - 2023",SCH,"Albemarle County Public Schools","Brownsville Elementary",Male,254,41,86.1,13.9
"2022 - 2023",SCH,"Albemarle County Public Schools","Brownsville Elementary","Multiple Races",31,5,86.1,13.9
"2022 - 2023",SCH,"Albemarle County Public Schools","Brownsville Elementary","Native Hawaiian",<,<,,
"2022 - 2023",SCH,"Albemarle County Public Schools","Brownsville Elementary","Students with Disabilities",46,20,69.7,30.3
"2022 - 2023",SCH,"Albemarle County Public Schools","Brownsville Elementary",White,403,65,86.1,13.9
"2022 - 2023",SCH,"Albemarle County Public Schools","Community Lab School","All Students",170,18,90.4,9.6
"2022 - 2023",SCH,"Albemarle County Public Schools","Community Lab School","American Indian",<,<,,
"2022 - 2023",SCH,"Albemarle County Public Schools","Community Lab School",Asian,<,<,71.4,28.6
"2022 - 2023",SCH,"Albemarle County Public Schools","Community Lab School",Black,9,1,90,10
"2022 - 2023",SCH,"Albemarle County Public Schools","Community Lab School","Economically Disadvantaged",13,2,86.7,13.3
"2022 - 2023",SCH,"Albemarle County Public Schools","Community Lab School","English Learners",<,<,100,0
"2022 - 2023",SCH,"Albemarle County Public Schools","Community Lab School",Female,90,12,88.2,11.8
"2022 - 2023",SCH,"Albemarle County Public Schools","Community Lab School",Hispanic,20,2,90.9,9.1
"2022 - 2023",SCH,"Albemarle County Public Schools","Community Lab School",Male,80,6,93,7
"2022 - 2023",SCH,"Albemarle County Public Schools","Community Lab School","Multiple Races",17,2,89.5,10.5
"2022 - 2023",SCH,"Albemarle County Public Schools","Community Lab School","Students with Disabilities",34,4,89.5,10.5
"2022 - 2023",SCH,"Albemarle County Public Schools","Community Lab School",White,118,11,91.5,8.5
"2022 - 2023",SCH,"Albemarle County Public Schools","Crozet Elementary","All Students",423,96,81.5,18.5
"2022 - 2023",SCH,"Albemarle County Public Schools","Crozet Elementary",Asian,15,2,88.2,11.8
"2022 - 2023",SCH,"Albemarle County Public Schools","Crozet Elementary",Black,<,<,44.4,55.6
"2022 - 2023",SCH,"Albemarle County Public Schools","Crozet Elementary","Economically Disadvantaged",45,37,54.9,45.1
"2022 - 2023",SCH,"Albemarle County Public Schools","Crozet Elementary","English Learners",<,<,87.5,12.5
"2022 - 2023",SCH,"Albemarle County Public Schools","Crozet Elementary",Female,207,43,82.8,17.2
"2022 - 2023",SCH,"Albemarle County Public Schools","Crozet Elementary",Hispanic,27,9,75,25
"2022 - 2023",SCH,"Albemarle County Public Schools","Crozet Elementary",Homeless,<,<,,
"2022 - 2023",SCH,"Albemarle County Public Schools","Crozet Elementary",Male,216,53,80.3,19.7
"2022 - 2023",SCH,"Albemarle County Public Schools","Crozet Elementary","Multiple Races",20,10,66.7,33.3
"2022 - 2023",SCH,"Albemarle County Public Schools","Crozet Elementary","Students with Disabilities",34,11,75.6,24.4
"2022 - 2023",SCH,"Albemarle County Public Schools","Crozet Elementary",White,357,70,83.6,16.4
"2022 - 2023",SCH,"Albemarle County Public Schools","Hollymead Elementary","All Students",290,50,85.3,14.7
"2022 - 2023",SCH,"Albemarle County Public Schools","Hollymead Elementary",Asian,58,5,92.1,7.9
"2022 - 2023",SCH,"Albemarle County Public Schools","Hollymead Elementary",Black,14,6,70,30
"2022 - 2023",SCH,"Albemarle County Public Schools","Hollymead Elementary","Economically Disadvantaged",43,15,74.1,25.9
"2022 - 2023",SCH,"Albemarle County Public Schools","Hollymead Elementary","English Learners",21,5,80.8,19.2
"2022 - 2023",SCH,"Albemarle County Public Schools","Hollymead Elementary",Female,138,19,87.9,12.1
"2022 - 2023",SCH,"Albemarle County Public Schools","Hollymead Elementary",Hispanic,19,2,90.5,9.5
"2022 - 2023",SCH,"Albemarle County Public Schools","Hollymead Elementary",Male,152,31,83.1,16.9
"2022 - 2023",SCH,"Albemarle County Public Schools","Hollymead Elementary","Multiple Races",27,4,87.1,12.9
"2022 - 2023",SCH,"Albemarle County Public Schools","Hollymead Elementary","Students with Disabilities",42,12,77.8,22.2
"2022 - 2023",SCH,"Albemarle County Public Schools","Hollymead Elementary",White,172,33,83.9,16.1
"2022 - 2023",SCH,"Albemarle County Public Schools","Ivy Elementary","All Students",299,40,88.2,11.8
"2022 - 2023",SCH,"Albemarle County Public Schools","Ivy Elementary",Asian,<,<,88.9,11.1
"2022 - 2023",SCH,"Albemarle County Public Schools","Ivy Elementary",Black,<,<,50,50
"2022 - 2023",SCH,"Albemarle County Public Schools","Ivy Elementary","Economically Disadvantaged",16,11,59.3,40.7
"2022 - 2023",SCH,"Albemarle County Public Schools","Ivy Elementary","English Learners",<,<,88.9,11.1
"2022 - 2023",SCH,"Albemarle County Public Schools","Ivy Elementary",Female,136,12,91.9,8.1
"2022 - 2023",SCH,"Albemarle County Public Schools","Ivy Elementary",Hispanic,18,3,85.7,14.3
"2022 - 2023",SCH,"Albemarle County Public Schools","Ivy Elementary",Male,163,28,85.3,14.7
"2022 - 2023",SCH,"Albemarle County Public Schools","Ivy Elementary","Multiple Races",8,3,72.7,27.3
"2022 - 2023",SCH,"Albemarle County Public Schools","Ivy Elementary","Students with Disabilities",29,7,80.6,19.4
"2022 - 2023",SCH,"Albemarle County Public Schools","Ivy Elementary",White,264,32,89.2,10.8
"2022 - 2023",SCH,"Albemarle County Public Schools","Jackson P. Burley Middle","All Students",520,65,88.9,11.1
"2022 - 2023",SCH,"Albemarle County Public Schools","Jackson P. Burley Middle",Asian,28,0,100,0
"2022 - 2023",SCH,"Albemarle County Public Schools","Jackson P. Burley Middle",Black,96,16,85.7,14.3
"2022 - 2023",SCH,"Albemarle County Public Schools","Jackson P. Burley Middle","Economically Disadvantaged",235,48,83,17
"2022 - 2023",SCH,"Albemarle County Public Schools","Jackson P. Burley Middle","English Learners",103,11,90.4,9.6
"2022 - 2023",SCH,"Albemarle County Public Schools","Jackson P. Burley Middle",Female,250,35,87.7,12.3
"2022 - 2023",SCH,"Albemarle County Public Schools","Jackson P. Burley Middle",Hispanic,132,20,86.8,13.2
"2022 - 2023",SCH,"Albemarle County Public Schools","Jackson P. Burley Middle",Homeless,<,<,,
"2022 - 2023",SCH,"Albemarle County Public Schools","Jackson P. Burley Middle",Male,269,29,90.3,9.7
"2022 - 2023",SCH,"Albemarle County Public Schools","Jackson P. Burley Middle","Multiple Races",45,5,90,10
"2022 - 2023",SCH,"Albemarle County Public Schools","Jackson P. Burley Middle","Native Hawaiian",<,<,,
"2022 - 2023",SCH,"Albemarle County Public Schools","Jackson P. Burley Middle","Students with Disabilities",74,9,89.2,10.8
"2022 - 2023",SCH,"Albemarle County Public Schools","Jackson P. Burley Middle",White,218,24,90.1,9.9
"2022 - 2023",SCH,"Albemarle County Public Schools","Joseph T. Henley Middle","All Students",690,111,86.1,13.9
"2022 - 2023",SCH,"Albemarle County Public Schools","Joseph T. Henley Middle",Asian,26,2,92.9,7.1
"2022 - 2023",SCH,"Albemarle County Public Schools","Joseph T. Henley Middle",Black,14,3,82.4,17.6
"2022 - 2023",SCH,"Albemarle County Public Schools","Joseph T. Henley Middle","Economically Disadvantaged",79,35,69.3,30.7
"2022 - 2023",SCH,"Albemarle County Public Schools","Joseph T. Henley Middle","English Learners",17,2,89.5,10.5
"2022 - 2023",SCH,"Albemarle County Public Schools","Joseph T. Henley Middle",Female,326,59,84.7,15.3
"2022 - 2023",SCH,"Albemarle County Public Schools","Joseph T. Henley Middle",Hispanic,40,12,76.9,23.1
"2022 - 2023",SCH,"Albemarle County Public Schools","Joseph T. Henley Middle",Male,364,52,87.5,12.5
"2022 - 2023",SCH,"Albemarle County Public Schools","Joseph T. Henley Middle","Multiple Races",35,8,81.4,18.6
"2022 - 2023",SCH,"Albemarle County Public Schools","Joseph T. Henley Middle","Students with Disabilities",83,20,80.6,19.4
"2022 - 2023",SCH,"Albemarle County Public Schools","Joseph T. Henley Middle",White,575,86,87,13
"2022 - 2023",SCH,"Albemarle County Public Schools","Journey Middle","All Students",490,141,77.7,22.3
"2022 - 2023",SCH,"Albemarle County Public Schools","Journey Middle","American Indian",<,<,,
"2022 - 2023",SCH,"Albemarle County Public Schools","Journey Middle",Asian,29,5,85.3,14.7
"2022 - 2023",SCH,"Albemarle County Public Schools","Journey Middle",Black,105,38,73.4,26.6
"2022 - 2023",SCH,"Albemarle County Public Schools","Journey Middle","Economically Disadvantaged",264,93,73.9,26.1
"2022 - 2023",SCH,"Albemarle County Public Schools","Journey Middle","English Learners",115,49,70.1,29.9
"2022 - 2023",SCH,"Albemarle County Public Schools","Journey Middle",Female,241,73,76.8,23.2
"2022 - 2023",SCH,"Albemarle County Public Schools","Journey Middle",Hispanic,131,44,74.9,25.1
"2022 - 2023",SCH,"Albemarle County Public Schools","Journey Middle",Homeless,5,10,,
"2022 - 2023",SCH,"Albemarle County Public Schools","Journey Middle",Male,247,67,78.7,21.3
"2022 - 2023",SCH,"Albemarle County Public Schools","Journey Middle","Multiple Races",39,14,73.6,26.4
"2022 - 2023",SCH,"Albemarle County Public Schools","Journey Middle","Students with Disabilities",66,26,71.7,28.3
"2022 - 2023",SCH,"Albemarle County Public Schools","Journey Middle",White,186,39,82.7,17.3
"2022 - 2023",SCH,"Albemarle County Public Schools","Lakeside Middle","All Students",449,62,87.9,12.1
"2022 - 2023",SCH,"Albemarle County Public Schools","Lakeside Middle",Asian,56,2,96.6,3.4
"2022 - 2023",SCH,"Albemarle County Public Schools","Lakeside Middle",Black,30,9,76.9,23.1
"2022 - 2023",SCH,"Albemarle County Public Schools","Lakeside Middle","Economically Disadvantaged",101,34,74.8,25.2
"2022 - 2023",SCH,"Albemarle County Public Schools","Lakeside Middle","English Learners",44,9,83,17
"2022 - 2023",SCH,"Albemarle County Public Schools","Lakeside Middle",Female,220,31,87.6,12.4
"2022 - 2023",SCH,"Albemarle County Public Schools","Lakeside Middle",Hispanic,53,11,82.8,17.2
"2022 - 2023",SCH,"Albemarle County Public Schools","Lakeside Middle",Homeless,<,<,,
"2022 - 2023",SCH,"Albemarle County Public Schools","Lakeside Middle",Male,229,31,88.1,11.9
"2022 - 2023",SCH,"Albemarle County Public Schools","Lakeside Middle","Multiple Races",33,5,86.8,13.2
"2022 - 2023",SCH,"Albemarle County Public Schools","Lakeside Middle","Students with Disabilities",50,11,82,18
"2022 - 2023",SCH,"Albemarle County Public Schools","Lakeside Middle",White,277,35,88.8,11.2
"2022 - 2023",SCH,"Albemarle County Public Schools","Leslie H. Walton Middle","All Students",268,72,78.8,21.2
"2022 - 2023",SCH,"Albemarle County Public Schools","Leslie H. Walton Middle",Asian,<,<,57.1,42.9
"2022 - 2023",SCH,"Albemarle County Public Schools","Leslie H. Walton Middle",Black,26,2,92.9,7.1
"2022 - 2023",SCH,"Albemarle County Public Schools","Leslie H. Walton Middle","Economically Disadvantaged",85,47,64.4,35.6
"2022 - 2023",SCH,"Albemarle County Public Schools","Leslie H. Walton Middle","English Learners",15,7,68.2,31.8
"2022 - 2023",SCH,"Albemarle County Public Schools","Leslie H. Walton Middle",Female,119,39,75.3,24.7
"2022 - 2023",SCH,"Albemarle County Public Schools","Leslie H. Walton Middle",Hispanic,27,11,71.1,28.9
"2022 - 2023",SCH,"Albemarle County Public Schools","Leslie H. Walton Middle",Male,148,33,81.8,18.2
"2022 - 2023",SCH,"Albemarle County Public Schools","Leslie H. Walton Middle","Multiple Races",15,3,83.3,16.7
"2022 - 2023",SCH,"Albemarle County Public Schools","Leslie H. Walton Middle","Native Hawaiian",<,<,,
"2022 - 2023",SCH,"Albemarle County Public Schools","Leslie H. Walton Middle","Students with Disabilities",46,18,71.9,28.1
"2022 - 2023",SCH,"Albemarle County Public Schools","Leslie H. Walton Middle",White,196,52,79,21
"2022 - 2023",SCH,"Albemarle County Public Schools","Mary Carr Greer Elementary","All Students",334,131,71.8,28.2
"2022 - 2023",SCH,"Albemarle County Public Schools","Mary Carr Greer Elementary","American Indian",<,<,,
"2022 - 2023",SCH,"Albemarle County Public Schools","Mary Carr Greer Elementary",Asian,25,5,83.3,16.7
"2022 - 2023",SCH,"Albemarle County Public Schools","Mary Carr Greer Elementary",Black,88,33,72.7,27.3
"2022 - 2023",SCH,"Albemarle County Public Schools","Mary Carr Greer Elementary","Economically Disadvantaged",156,103,60.2,39.8
"2022 - 2023",SCH,"Albemarle County Public Schools","Mary Carr Greer Elementary","English Learners",115,60,65.7,34.3
"2022 - 2023",SCH,"Albemarle County Public Schools","Mary Carr Greer Elementary",Female,162,64,71.7,28.3
"2022 - 2023",SCH,"Albemarle County Public Schools","Mary Carr Greer Elementary",Hispanic,105,56,65.2,34.8
"2022 - 2023",SCH,"Albemarle County Public Schools","Mary Carr Greer Elementary",Homeless,3,9,,
"2022 - 2023",SCH,"Albemarle County Public Schools","Mary Carr Greer Elementary",Male,172,67,72,28
"2022 - 2023",SCH,"Albemarle County Public Schools","Mary Carr Greer Elementary","Multiple Races",24,16,60,40
"2022 - 2023",SCH,"Albemarle County Public Schools","Mary Carr Greer Elementary","Students with Disabilities",52,29,64.2,35.8
"2022 - 2023",SCH,"Albemarle County Public Schools","Mary Carr Greer Elementary",White,91,21,81.3,18.7
"2022 - 2023",SCH,"Albemarle County Public Schools","Monticello High","All Students",954,265,78.3,21.7
"2022 - 2023",SCH,"Albemarle County Public Schools","Monticello High","American Indian",<,<,,
"2022 - 2023",SCH,"Albemarle County Public Schools","Monticello High",Asian,38,3,92.7,7.3
"2022 - 2023",SCH,"Albemarle County Public Schools","Monticello High",Black,102,45,69.4,30.6
"2022 - 2023",SCH,"Albemarle County Public Schools","Monticello High","Economically Disadvantaged",300,163,64.8,35.2
"2022 - 2023",SCH,"Albemarle County Public Schools","Monticello High","English Learners",79,13,85.9,14.1
"2022 - 2023",SCH,"Albemarle County Public Schools","Monticello High",Female,468,133,77.9,22.1
"2022 - 2023",SCH,"Albemarle County Public Schools","Monticello High",Hispanic,164,47,77.7,22.3
"2022 - 2023",SCH,"Albemarle County Public Schools","Monticello High",Homeless,<,<,,
"2022 - 2023",SCH,"Albemarle County Public Schools","Monticello High",Male,484,132,78.6,21.4
"2022 - 2023",SCH,"Albemarle County Public Schools","Monticello High","Multiple Races",57,26,68.7,31.3
"2022 - 2023",SCH,"Albemarle County Public Schools","Monticello High","Native Hawaiian",<,<,,
"2022 - 2023",SCH,"Albemarle County Public Schools","Monticello High","Students with Disabilities",134,41,76.6,23.4
"2022 - 2023",SCH,"Albemarle County Public Schools","Monticello High",White,591,143,80.5,19.5
