case_number,agency,area,reported_date,crime_code,block_address,verified,locality,description,address,lon,lat
2020-00034912,CPD,DS-2,2020-12-20T17:33:25Z,Shots Fired,400 GARRETT ST,VERIFIED,Charlottesville,Shots Fired,400 GARRETT ST Charlottesville,-78.48163219999999,38.0277482
2020-00034913,CPD,DS-5,2020-12-20T17:34:55Z,Shots Fired,800 ORANGEDALE AVE,VERIFIED,Charlottesville,Shots Fired,800 ORANGEDALE AVE Charlottesville,-78.4975054,38.0215283
2020-00035029,CPD,CASE,2020-12-21T19:59:54Z,13A,500 9TH ST,CASE,Charlottesville,Aggravated Assault,500 9TH ST Charlottesville,-78.4949602,38.0278891
2020-00035175,CPD,DN-4,2020-12-23T04:26:14Z,Shots Fired,600 PARK ST,VERIFIED,Charlottesville,Shots Fired,600 PARK ST Charlottesville,-78.4747314,38.0349581
2020-00063638,ACPD,S4-10,2020-12-23T16:53:31Z,Shots Fired,3500 BURNLEY STATION RD,VERIFIED,Albemarle County,Shots Fired,3500 BURNLEY STATION RD Albemarle County,-78.37548799999999,38.1799385
2020-00035358,CPD,CASE,2020-12-25T19:50:42Z,13A,DICE ST @ 5TH ST SW,CASE,Charlottesville,Aggravated Assault,DICE ST @ 5TH ST SW Charlottesville,-78.4888443,38.02906
2020-00064128,ACPD,S8-17,2020-12-26T21:17:10Z,Shots Fired,5600 ST GEORGE AVE,VERIFIED,Albemarle County,Shots Fired,5600 ST GEORGE AVE Albemarle County,-78.6942497,38.0722446
2020-00035475,CPD,CASE,2020-12-27T01:03:55Z,09A,900 1ST ST,CASE,Charlottesville,Murder,900 1ST ST Charlottesville,-78.48562609999999,38.022898
2020-00035486,CPD,CASE,2020-12-27T05:11:00Z,13A,DICE ST,CASE,Charlottesville,Aggravated Assault,DICE ST Charlottesville,-78.4878055,38.0285942
2020-00065081,ACPD,S7-16,2020-12-31T22:07:49Z,Shots Fired,2000 OWENSVILLE RD,VERIFIED,Albemarle County,Shots Fired,2000 OWENSVILLE RD Albemarle County,-78.582608,38.0914667
2021-00000022,ACPD,S1-6,2021-01-01T01:38:32Z,Shots Fired,2200 COMMONWEALTH DR,VERIFIED,Albemarle County,Shots Fired,2200 COMMONWEALTH DR Albemarle County,-78.49312599999999,38.0696355
2021-00000447,CPD,DS-2,2021-01-05T21:41:27Z,Shots Fired,6TH ST,VERIFIED,Charlottesville,Shots Fired,6TH ST Charlottesville,-78.4902638,38.028322
2021-00000454,CPD,CASE,2021-01-05T23:56:55Z,13A,700 PROSPECT AVE,CASE,Charlottesville,Aggravated Assault,700 PROSPECT AVE Charlottesville,-78.49439579999999,38.0246386
2021-00000510,CPD,DS-5,2021-01-06T16:43:19Z,Shots Fired,600 PROSPECT AVE,VERIFIED,Charlottesville,Shots Fired,600 PROSPECT AVE Charlottesville,-78.4950757,38.025189
2021-00002428,ACPD,S7-16,2021-01-15T13:30:32Z,Shots Fired,2800 PEA RIDGE RD,VERIFIED,Albemarle County,Shots Fired,2800 PEA RIDGE RD Albemarle County,-78.6471779,38.1123671
2021-00001530,CPD,DS-3,2021-01-15T22:55:25Z,Shots Fired,500 1ST ST,VERIFIED,Charlottesville,Shots Fired,500 1ST ST Charlottesville,-78.48563829999999,38.0231995
2021-00003766,ACPD,S5-13,2021-01-22T17:05:03Z,Shots Fired,400 SECRETARYS RD,VERIFIED,Albemarle County,Shots Fired,400 SECRETARYS RD Albemarle County,-78.5345078,37.9019952
2021-00002553,CPD,DS-1,2021-01-26T01:35:03Z,Shots Fired,600 MASON ST,VERIFIED,Charlottesville,Shots Fired,600 MASON ST Charlottesville,-78.4655934,38.0197258
2021-00004542,ACPD,S5-14,2021-01-26T16:28:01Z,Shots Fired,2700 DAWSONS MILL RD,VERIFIED,Albemarle County,Shots Fired,2700 DAWSONS MILL RD Albemarle County,-78.5937129,37.813535
2021-00002728,CPD,CASE,2021-01-27T17:48:14Z,13A,400 MAIN ST,CASE,Charlottesville,Aggravated Assault,400 MAIN ST Charlottesville,-78.4867153,38.0304408
2021-00002784,CPD,DN-16,2021-01-28T15:37:30Z,Shots Fired,1400 MELBOURNE RD,VERIFIED,Charlottesville,Shots Fired,1400 MELBOURNE RD Charlottesville,-78.47463669999999,38.0516655
2021-00005589,ACPD,S5-13,2021-01-30T21:19:54Z,Shots Fired,7900 SCOTTSVILLE RD,VERIFIED,Albemarle County,Shots Fired,7900 SCOTTSVILLE RD Albemarle County,-78.5097919,37.8185594
2021-00005592,ACPD,S1-6,2021-01-30T22:01:34Z,Shots Fired,2300 PEYTON DR,VERIFIED,Albemarle County,Shots Fired,2300 PEYTON DR Albemarle County,-78.4934019,38.0729196
2021-00003953,CPD,DC-3,2021-02-09T19:56:56Z,Shots Fired,800 HARDY DR,VERIFIED,Charlottesville,Shots Fired,800 HARDY DR Charlottesville,-78.49039789999999,38.0332385
2021-00004134,CPD,DS-2,2021-02-11T18:27:03Z,Shots Fired,2ND ST,VERIFIED,Charlottesville,Shots Fired,2ND ST Charlottesville,-78.4826066,38.0303072
2021-00004466,CPD,CASE,2021-02-15T21:17:44Z,13A,800 HARDY DR,CASE,Charlottesville,Aggravated Assault,800 HARDY DR Charlottesville,-78.49039789999999,38.0332385
2021-00004877,CPD,CASE,2021-02-21T09:12:19Z,13A,HYDRAULIC RD,CASE,Charlottesville,Aggravated Assault,HYDRAULIC RD Charlottesville,-78.4930643,38.0639861
2021-00005032,CPD,CASE,2021-02-22T19:46:35Z,13A,800 SHAMROCK RD,CASE,Charlottesville,Aggravated Assault,800 SHAMROCK RD Charlottesville,-78.5001862,38.018922
2021-00010218,ACPD,S1-6,2021-02-26T22:03:18Z,Shots Fired,400 BURGOYNE RD,VERIFIED,Albemarle County,Shots Fired,400 BURGOYNE RD Albemarle County,-78.5128683,38.0639348
2021-00011501,ACPD,S3-8,2021-03-05T16:45:40Z,Shots Fired,1700 TIMBERWOOD BLVD,VERIFIED,Albemarle County,Shots Fired,1700 TIMBERWOOD BLVD Albemarle County,-78.43711139999999,38.1298253
2021-00011748,ACPD,S4-2,2021-03-06T23:06:37Z,Shots Fired,SOUTH PANTOPS DR,VERIFIED,Albemarle County,Shots Fired,SOUTH PANTOPS DR Albemarle County,-78.450137,38.0285044
2021-00011836,ACPD,S1-6,2021-03-07T14:31:11Z,Shots Fired,2300 PEYTON DR,VERIFIED,Albemarle County,Shots Fired,2300 PEYTON DR Albemarle County,-78.4934019,38.0729196
2021-00006359,CPD,DS-3,2021-03-08T00:19:10Z,Shots Fired,700 RIDGE ST,VERIFIED,Charlottesville,Shots Fired,700 RIDGE ST Charlottesville,-78.4898523,38.0245196
2021-00006360,CPD,DS-5,2021-03-08T00:21:25Z,Shots Fired,700 PROSPECT AVE,VERIFIED,Charlottesville,Shots Fired,700 PROSPECT AVE Charlottesville,-78.49439579999999,38.0246386
2021-00012041,ACPD,S2-1,2021-03-08T23:41:07Z,Shots Fired,JOHN W WARNER PKWY,VERIFIED,Albemarle County,Shots Fired,JOHN W WARNER PKWY Albemarle County,-78.4694124,38.052286
2021-00012173,ACPD,S4-12,2021-03-09T21:00:16Z,Shots Fired,1300 PLEASANT VALLEY LN,VERIFIED,Albemarle County,Shots Fired,1300 PLEASANT VALLEY LN Albemarle County,-78.3570537,37.9987781
2021-00012802,ACPD,S3-8,2021-03-13T19:58:19Z,Shots Fired,2600 ENGLISH OAKS CIR,VERIFIED,Albemarle County,Shots Fired,2600 ENGLISH OAKS CIR Albemarle County,-78.43260889999999,38.109943
2021-00013909,ACPD,S8-17,2021-03-19T22:43:24Z,Shots Fired,5800 MCCOMB ST,VERIFIED,Albemarle County,Shots Fired,5800 MCCOMB ST Albemarle County,-78.7020573,38.0702288
2021-00007762,CPD,DS-1,2021-03-21T03:08:19Z,Shots Fired,1500 CARLTON AVE,VERIFIED,Charlottesville,Shots Fired,1500 CARLTON AVE Charlottesville,-78.4634183,38.0215204
2021-00008305,CPD,DN-13,2021-03-26T00:25:51Z,Shots Fired,2400 ARLINGTON BLVD,VERIFIED,Charlottesville,Shots Fired,2400 ARLINGTON BLVD Charlottesville,-78.5074325,38.0496959
2021-00008412,CPD,CASE,2021-03-26T22:05:37Z,13A,400 GARRETT ST,CASE,Charlottesville,Aggravated Assault,400 GARRETT ST Charlottesville,-78.48163219999999,38.0277482
2021-00008413,CPD,DS-3,2021-03-26T22:49:29Z,Shots Fired,600 1ST ST,VERIFIED,Charlottesville,Shots Fired,600 1ST ST Charlottesville,-78.4837569,38.0264917
2021-00015248,ACPD,S6-4,2021-03-26T23:39:03Z,Shots Fired,TIMBERLAND LN,VERIFIED,Albemarle County,Shots Fired,TIMBERLAND LN Albemarle County,-78.52061,38.0091247
2021-00008425,CPD,DS-3,2021-03-27T00:22:59Z,Shots Fired,900 1ST ST,VERIFIED,Charlottesville,Shots Fired,900 1ST ST Charlottesville,-78.48562609999999,38.022898
2021-00008696,CPD,CASE,2021-03-29T16:09:49Z,13A,100 10 1/2 ST,CASE,Charlottesville,Aggravated Assault,100 10 1/2 ST Charlottesville,-78.4952697,38.032737
2021-00008709,CPD,CASE,2021-03-29T18:24:33Z,13A,2300 NORTH BERKSHIRE RD,CASE,Charlottesville,Aggravated Assault,2300 NORTH BERKSHIRE RD Charlottesville,-78.49661119999999,38.0625308
2021-00009100,CPD,DC-3,2021-04-02T23:17:20Z,Shots Fired,800 HARDY DR,VERIFIED,Charlottesville,Shots Fired,800 HARDY DR Charlottesville,-78.49039789999999,38.0332385
2021-00016751,ACPD,S2-1,2021-04-04T19:13:33Z,Shots Fired,1600 RIO HILL DR,VERIFIED,Albemarle County,Shots Fired,1600 RIO HILL DR Albemarle County,-78.4695923,38.0802479
2021-00009277,CPD,CASE,2021-04-04T20:46:40Z,13A,100 HAMMOND ST,CASE,Charlottesville,Aggravated Assault,100 HAMMOND ST Charlottesville,-78.5128297,38.0208579
2021-00009300,CPD,DC-3,2021-04-05T00:59:24Z,Shots Fired,PAGE ST,VERIFIED,Charlottesville,Shots Fired,PAGE ST Charlottesville,-78.4926015,38.0347784
2021-00009576,CPD,CASE,2021-04-07T16:55:00Z,13A,800 HARDY DR,CASE,Charlottesville,Aggravated Assault,800 HARDY DR Charlottesville,-78.49039789999999,38.0332385
2021-00009607,CPD,DC-2,2021-04-07T23:13:32Z,Shots Fired,RIDGE MCINTIRE RD,VERIFIED,Charlottesville,Shots Fired,RIDGE MCINTIRE RD Charlottesville,-78.4847366,38.0322353
2021-00009680,CPD,CASE,2021-04-08T20:27:27Z,13A,900 RIVER RD,CASE,Charlottesville,Aggravated Assault,900 RIVER RD Charlottesville,-78.45812120000001,38.0363276
2021-00010184,CPD,CASE,2021-04-13T22:32:42Z,13A,700 PROSPECT AVE,CASE,Charlottesville,Aggravated Assault,700 PROSPECT AVE Charlottesville,-78.49439579999999,38.0246386
2021-00018354,ACPD,CASE,2021-04-14T21:47:26Z,13A,400 BURGOYNE RD,CASE,Albemarle County,Aggravated Assault,400 BURGOYNE RD Albemarle County,-78.5128683,38.0639348
2021-00018384,ACPD,S1-7,2021-04-15T02:18:28Z,Shots Fired,400 FOUR SEASONS DR,VERIFIED,Albemarle County,Shots Fired,400 FOUR SEASONS DR Albemarle County,-78.4879344,38.0810511
2021-00010375,CPD,DS-2,2021-04-15T22:50:32Z,Shots Fired,MONTICELLO AVE,VERIFIED,Charlottesville,Shots Fired,MONTICELLO AVE Charlottesville,-78.4757521,38.0174618
2021-00018741,ACPD,S5-14,2021-04-17T17:48:06Z,Shots Fired,6500 ESMONT RD,VERIFIED,Albemarle County,Shots Fired,6500 ESMONT RD Albemarle County,-78.5656486,37.85397529999999
2021-00018755,ACPD,S5-13,2021-04-17T19:23:29Z,Shots Fired,7000 ROLLING RD,VERIFIED,Albemarle County,Shots Fired,7000 ROLLING RD Albemarle County,-78.4203383,37.8776416
2021-00019376,ACPD,S2-1,2021-04-21T13:19:20Z,Shots Fired,800 MALLSIDE FOREST CT,VERIFIED,Albemarle County,Shots Fired,800 MALLSIDE FOREST CT Albemarle County,-78.4684583,38.07985
2021-00020890,ACPD,CASE,2021-04-29T19:29:06Z,13A,800 MALLSIDE FOREST CT,CASE,Albemarle County,Aggravated Assault,800 MALLSIDE FOREST CT Albemarle County,-78.4684583,38.07985
2021-00020921,ACPD,S7-16,2021-04-29T22:14:21Z,Shots Fired,4100 IVY RD,VERIFIED,Albemarle County,Shots Fired,4100 IVY RD Albemarle County,-78.5895333,38.0555739
2021-00020981,ACPD,S1-6,2021-04-30T01:42:27Z,Shots Fired,2300 PEYTON DR,VERIFIED,Albemarle County,Shots Fired,2300 PEYTON DR Albemarle County,-78.4934019,38.0729196
2021-00011694,CPD,CASE,2021-04-30T17:37:21Z,13A,2100 BARRACKS RD,CASE,Charlottesville,Aggravated Assault,2100 BARRACKS RD Charlottesville,-78.499113,38.052787
2021-00011712,CPD,CASE,2021-04-30T22:21:53Z,13A,800 HARDY DR,CASE,Charlottesville,Aggravated Assault,800 HARDY DR Charlottesville,-78.49039789999999,38.0332385
2021-00011728,CPD,CASE,2021-05-01T01:22:26Z,13A,100 LONGWOOD DR,CASE,Charlottesville,Aggravated Assault,100 LONGWOOD DR Charlottesville,-78.5044117,38.0153859
2021-00021378,ACPD,CASE,2021-05-02T03:13:18Z,13A,400 PREMIER CIR,CASE,Albemarle County,Aggravated Assault,400 PREMIER CIR Albemarle County,-78.4822504,38.0726621
2021-00012115,CPD,CASE,2021-05-04T23:35:54Z,13A,700 PROSPECT AVE,CASE,Charlottesville,Aggravated Assault,700 PROSPECT AVE Charlottesville,-78.49439579999999,38.0246386
2021-00012303,CPD,DS-10,2021-05-06T22:46:19Z,Shots Fired,FONTAINE AVE,VERIFIED,Charlottesville,Shots Fired,FONTAINE AVE Charlottesville,-78.5191175,38.0259518
2021-00012408,CPD,DS-5,2021-05-08T00:47:30Z,Shots Fired,700 PROSPECT AVE,VERIFIED,Charlottesville,Shots Fired,700 PROSPECT AVE Charlottesville,-78.49439579999999,38.0246386
2021-00022854,ACPD,CASE,2021-05-10T23:16:52Z,13A,2000 NORTHWOODS POINTE DR,CASE,Albemarle County,Aggravated Assault,2000 NORTHWOODS POINTE DR Albemarle County,-78.48646149999999,38.0786332
2021-00023136,ACPD,S4-12,2021-05-12T16:41:47Z,Shots Fired,1500 BLACK CAT RD,VERIFIED,Albemarle County,Shots Fired,1500 BLACK CAT RD Albemarle County,-78.338132,37.9960336
2021-00023267,ACPD,S5-13,2021-05-13T20:00:15Z,Shots Fired,2600 ED JONES RD,VERIFIED,Albemarle County,Shots Fired,2600 ED JONES RD Albemarle County,-78.4132719,37.93262480000001
2021-00023414,ACPD,CASE,2021-05-15T01:26:49Z,13A,2300 PEYTON DR,CASE,Albemarle County,Aggravated Assault,2300 PEYTON DR Albemarle County,-78.4934019,38.0729196
2021-00013260,CPD,DS-2,2021-05-16T01:14:22Z,Shots Fired,400 GARRETT ST,VERIFIED,Charlottesville,Shots Fired,400 GARRETT ST Charlottesville,-78.48163219999999,38.0277482
2021-00013756,CPD,CASE,2021-05-20T16:06:56Z,13A,900 1ST ST,CASE,Charlottesville,Aggravated Assault,900 1ST ST Charlottesville,-78.48562609999999,38.022898
2021-00014014,CPD,DN-19,2021-05-22T23:11:34Z,Shots Fired,2200 NORTH BERKSHIRE RD,VERIFIED,Charlottesville,Shots Fired,2200 NORTH BERKSHIRE RD Charlottesville,-78.4964419,38.0600145
2021-00024641,ACPD,S6-4,2021-05-24T13:37:23Z,Shots Fired,300 HICKORY ST,VERIFIED,Albemarle County,Shots Fired,300 HICKORY ST Albemarle County,-78.51825099999999,38.0001766
2021-00014409,CPD,CASE,2021-05-27T07:52:38Z,13A,1200 HOLMES AVE,CASE,Charlottesville,Aggravated Assault,1200 HOLMES AVE Charlottesville,-78.4608861,38.0460253
2021-00014497,CPD,DS-1,2021-05-27T23:25:21Z,Shots Fired,FRANKLIN ST,VERIFIED,Charlottesville,Shots Fired,FRANKLIN ST Charlottesville,-78.4640587,38.0201901
2021-00014505,CPD,CASE,2021-05-28T00:45:24Z,13A,100 ELLIEWOOD AVE,CASE,Charlottesville,Aggravated Assault,100 ELLIEWOOD AVE Charlottesville,-78.5005709,38.0363092
2021-00025664,ACPD,S1-6,2021-05-30T22:22:51Z,Shots Fired,400 BURGOYNE RD,VERIFIED,Albemarle County,Shots Fired,400 BURGOYNE RD Albemarle County,-78.5128683,38.0639348
2021-00014868,CPD,DC-3,2021-06-01T03:02:15Z,Shots Fired,800 HARDY DR,VERIFIED,Charlottesville,Shots Fired,800 HARDY DR Charlottesville,-78.49039789999999,38.0332385
2021-00014942,CPD,CASE,2021-06-01T23:47:13Z,13A,300 RIDGE ST,CASE,Charlottesville,Aggravated Assault,300 RIDGE ST Charlottesville,-78.4856961,38.0283691
2021-00015234,CPD,CASE,2021-06-04T18:24:34Z,13A,5TH ST SW @ RIDGE ST,CASE,Charlottesville,Aggravated Assault,5TH ST SW @ RIDGE ST Charlottesville,-78.4889724,38.0258962
2021-00015252,CPD,DN-19,2021-06-04T22:03:32Z,Shots Fired,2200 ANGUS RD,VERIFIED,Charlottesville,Shots Fired,2200 ANGUS RD Charlottesville,-78.4971539,38.0609884
2021-00015418,CPD,CASE,2021-06-06T08:35:56Z,13A,600 PRESTON AVE,CASE,Charlottesville,Aggravated Assault,600 PRESTON AVE Charlottesville,-78.48626469999999,38.0347089
2021-00027139,ACPD,S5-3,2021-06-08T01:19:17Z,Shots Fired,1900 SCOTTSVILLE RD,VERIFIED,Albemarle County,Shots Fired,1900 SCOTTSVILLE RD Albemarle County,-78.5042749,37.98450709999999
2021-00016304,CPD,DS-3,2021-06-14T22:35:59Z,Shots Fired,RIDGE ST,VERIFIED,Charlottesville,Shots Fired,RIDGE ST Charlottesville,-78.4898782,38.0244314
2021-00016414,CPD,DS-5,2021-06-15T23:18:10Z,Shots Fired,700 PROSPECT AVE,VERIFIED,Charlottesville,Shots Fired,700 PROSPECT AVE Charlottesville,-78.49439579999999,38.0246386
2021-00016423,CPD,DS-2,2021-06-16T01:46:50Z,Shots Fired,GARRETT ST,VERIFIED,Charlottesville,Shots Fired,GARRETT ST Charlottesville,-78.4812204,38.0282846
2021-00016613,CPD,CASE,2021-06-17T19:12:44Z,13A,700 ROCKLAND AVE,CASE,Charlottesville,Aggravated Assault,700 ROCKLAND AVE Charlottesville,-78.4836554,38.0179385
2021-00028981,ACPD,S3-8,2021-06-18T03:19:12Z,Shots Fired,RIO MILLS RD,VERIFIED,Albemarle County,Shots Fired,RIO MILLS RD Albemarle County,-78.4632935,38.1037842
2021-00016917,CPD,DS-9,2021-06-20T02:48:20Z,Shots Fired,800 CHERRY AVE,VERIFIED,Charlottesville,Shots Fired,800 CHERRY AVE Charlottesville,-78.4933791,38.0283117
2021-00030184,ACPD,S5-3,2021-06-24T23:10:03Z,Shots Fired,1600 SHADY GROVE CT,VERIFIED,Albemarle County,Shots Fired,1600 SHADY GROVE CT Albemarle County,-78.5083452,37.9918227
2021-00017452,CPD,CASE,2021-06-25T01:13:26Z,13A,800 HARDY DR,CASE,Charlottesville,Aggravated Assault,800 HARDY DR Charlottesville,-78.49039789999999,38.0332385
2021-00017733,CPD,CASE,2021-06-27T16:47:19Z,13A,300 RIVERSIDE AVE,CASE,Charlottesville,Aggravated Assault,300 RIVERSIDE AVE Charlottesville,-78.4553269,38.0239342
2021-00017838,CPD,CASE,2021-06-28T15:27:10Z,13A,900 RIVES ST,CASE,Charlottesville,Aggravated Assault,900 RIVES ST Charlottesville,-78.469803,38.0177396
2021-00018017,CPD,DN-11,2021-06-30T01:50:17Z,Shots Fired,1600 MARKET ST,VERIFIED,Charlottesville,Shots Fired,1600 MARKET ST Charlottesville,-78.4620971,38.0239077
2021-00018394,CPD,CASE,2021-07-03T15:24:02Z,13A,700 NASSAU ST,CASE,Charlottesville,Aggravated Assault,700 NASSAU ST Charlottesville,-78.4669519,38.0192287
2021-00018450,CPD,DS-5,2021-07-04T02:47:42Z,Shots Fired,700 ORANGEDALE AVE,VERIFIED,Charlottesville,Shots Fired,700 ORANGEDALE AVE Charlottesville,-78.49541889999999,38.0246115
2021-00018563,CPD,CASE,2021-07-04T23:23:55Z,13A,700 ORANGEDALE AVE,CASE,Charlottesville,Aggravated Assault,700 ORANGEDALE AVE Charlottesville,-78.49541889999999,38.0246115
2021-00019044,CPD,DS-6,2021-07-09T08:54:03Z,Shots Fired,100 LONGWOOD DR,VERIFIED,Charlottesville,Shots Fired,100 LONGWOOD DR Charlottesville,-78.5044117,38.0153859
2021-00019156,CPD,DS-5,2021-07-10T03:44:24Z,Shots Fired,ORANGEDALE AVE,VERIFIED,Charlottesville,Shots Fired,ORANGEDALE AVE Charlottesville,-78.4971676,38.0223888
2021-00033014,ACPD,CASE,2021-07-11T11:39:49Z,13A,2370 HEARTBREAK,CASE,Albemarle County,Aggravated Assault,2370 HEARTBREAK Albemarle County,-78.6114999,38.0567092
2021-00019519,CPD,CASE,2021-07-13T18:14:20Z,13A,900 5TH ST,CASE,Charlottesville,Aggravated Assault,900 5TH ST Charlottesville,-78.49365499999999,38.0216885
2021-00020216,CPD,CASE,2021-07-20T16:14:07Z,13A,800 HARDY DR,CASE,Charlottesville,Aggravated Assault,800 HARDY DR Charlottesville,-78.49039789999999,38.0332385
2021-00020269,CPD,CASE,2021-07-21T02:30:30Z,13A,2100 MICHIE DR,CASE,Charlottesville,Aggravated Assault,2100 MICHIE DR Charlottesville,-78.483828,38.062986
2021-00020371,CPD,CASE,2021-07-21T23:24:10Z,13A,400 9TH ST,CASE,Charlottesville,Aggravated Assault,400 9TH ST Charlottesville,-78.4908087,38.0355709
2021-00020442,CPD,DN-1,2021-07-22T19:12:01Z,Shots Fired,700 ANDERSON ST,VERIFIED,Charlottesville,Shots Fired,700 ANDERSON ST Charlottesville,-78.4884184,38.0342151
2021-00020607,CPD,DS-10,2021-07-24T02:12:48Z,Shots Fired,JEFFERSON PARK AVE,VERIFIED,Charlottesville,Shots Fired,JEFFERSON PARK AVE Charlottesville,-78.5099107,38.0284661
2021-00036275,ACPD,S1-6,2021-07-28T20:41:33Z,Shots Fired,2300 PEYTON DR,VERIFIED,Albemarle County,Shots Fired,2300 PEYTON DR Albemarle County,-78.4934019,38.0729196
2021-00021511,CPD,DS-1,2021-08-02T23:14:18Z,Shots Fired,600 6TH ST,VERIFIED,Charlottesville,Shots Fired,600 6TH ST Charlottesville,-78.4801598,38.0258145
2021-00037893,ACPD,S2-1,2021-08-05T01:03:11Z,Shots Fired,ROYAL CT,VERIFIED,Albemarle County,Shots Fired,ROYAL CT Albemarle County,-78.4729666,38.0748977
2021-00022432,CPD,DS-3,2021-08-13T01:09:03Z,Shots Fired,900 2ND ST,VERIFIED,Charlottesville,Shots Fired,900 2ND ST Charlottesville,-78.47642130000001,38.0376588
2021-00022548,CPD,DS-5,2021-08-14T04:03:24Z,Shots Fired,PROSPECT AVE,VERIFIED,Charlottesville,Shots Fired,PROSPECT AVE Charlottesville,-78.4959054,38.0226236
2021-00022943,CPD,DS-5,2021-08-18T02:24:49Z,Shots Fired,PROSPECT AVE,VERIFIED,Charlottesville,Shots Fired,PROSPECT AVE Charlottesville,-78.4959054,38.0226236
2021-00023116,CPD,CASE,2021-08-19T18:59:22Z,13A,2ND ST,CASE,Charlottesville,Aggravated Assault,2ND ST Charlottesville,-78.4826066,38.0303072
2021-00023251,CPD,CASE,2021-08-21T02:35:50Z,13A,700 PROSPECT AVE,CASE,Charlottesville,Aggravated Assault,700 PROSPECT AVE Charlottesville,-78.49439579999999,38.0246386
2021-00041523,ACPD,S4-10,2021-08-22T15:43:22Z,Shots Fired,ROCKY HOLLOW RD,VERIFIED,Albemarle County,Shots Fired,ROCKY HOLLOW RD Albemarle County,-78.4246234,38.0520307
2021-00024048,CPD,DN-6,2021-08-28T02:23:24Z,Shots Fired,1200 MARKET ST,VERIFIED,Charlottesville,Shots Fired,1200 MARKET ST Charlottesville,-78.4684341,38.0266293
2021-00024062,CPD,CASE,2021-08-28T06:32:59Z,13A,600 PRESTON AVE,CASE,Charlottesville,Aggravated Assault,600 PRESTON AVE Charlottesville,-78.48626469999999,38.0347089
2021-00042636,ACPD,S3-20,2021-08-28T13:39:27Z,Shots Fired,4100 EARLYSVILLE RD,VERIFIED,Albemarle County,Shots Fired,4100 EARLYSVILLE RD Albemarle County,-78.4809705,38.1527621
2021-00042881,ACPD,CASE,2021-08-29T21:49:33Z,13A,800 RUNNEL CT,CASE,Albemarle County,Aggravated Assault,800 RUNNEL CT Albemarle County,-78.511344,38.063551
2021-00024289,CPD,CASE,2021-08-30T16:28:16Z,13A,500 12TH ST,CASE,Charlottesville,Aggravated Assault,500 12TH ST Charlottesville,-78.49466199999999,38.0385968
2021-00024308,CPD,DS-9,2021-08-30T19:52:52Z,Shots Fired,300 PATON ST,VERIFIED,Charlottesville,Shots Fired,300 PATON ST Charlottesville,-78.50257839999999,38.0285052
2021-00024529,CPD,DN-7,2021-09-01T21:13:52Z,Shots Fired,500 12TH ST,VERIFIED,Charlottesville,Shots Fired,500 12TH ST Charlottesville,-78.49466199999999,38.0385968
2021-00024632,CPD,DS-2,2021-09-02T21:13:28Z,Shots Fired,400 GARRETT ST,VERIFIED,Charlottesville,Shots Fired,400 GARRETT ST Charlottesville,-78.48163219999999,38.0277482
2021-00024798,CPD,CASE,2021-09-04T00:26:39Z,13A,100 14TH ST,CASE,Charlottesville,Aggravated Assault,100 14TH ST Charlottesville,-78.4993999,38.03418449999999
2021-00024935,CPD,DC-3,2021-09-05T04:03:27Z,Shots Fired,800 HARDY DR,VERIFIED,Charlottesville,Shots Fired,800 HARDY DR Charlottesville,-78.49039789999999,38.0332385
2021-00044190,ACPD,S8-19,2021-09-05T15:04:32Z,Shots Fired,3300 FREE UNION RD,VERIFIED,Albemarle County,Shots Fired,3300 FREE UNION RD Albemarle County,-78.54985169999999,38.1284821
2021-00044348,ACPD,S4-11,2021-09-06T15:40:42Z,Shots Fired,TALL OAKS FARM,VERIFIED,Albemarle County,Shots Fired,TALL OAKS FARM Albemarle County,-78.346251,38.0349031
2021-00025079,CPD,DS-5,2021-09-06T19:30:44Z,Shots Fired,PROSPECT AVE,VERIFIED,Charlottesville,Shots Fired,PROSPECT AVE Charlottesville,-78.4959054,38.0226236
2021-00025336,CPD,CASE,2021-09-08T22:23:29Z,13A,800 HARDY DR,CASE,Charlottesville,Aggravated Assault,800 HARDY DR Charlottesville,-78.49039789999999,38.0332385
2021-00045175,ACPD,S2-1,2021-09-09T20:00:02Z,Shots Fired,800 BROOK RD,VERIFIED,Albemarle County,Shots Fired,800 BROOK RD Albemarle County,-78.6114999,38.0567092
2021-00025714,CPD,CASE,2021-09-11T18:40:20Z,13A,1000 MAIN ST,CASE,Charlottesville,Aggravated Assault,1000 MAIN ST Charlottesville,-78.4952169,38.0323477
2021-00025826,CPD,DS-5,2021-09-12T20:57:23Z,Shots Fired,700 PROSPECT AVE,VERIFIED,Charlottesville,Shots Fired,700 PROSPECT AVE Charlottesville,-78.49439579999999,38.0246386
2021-00026064,CPD,DN-19,2021-09-14T19:35:23Z,Shots Fired,2100 ANGUS RD,VERIFIED,Charlottesville,Shots Fired,2100 ANGUS RD Charlottesville,-78.49483959999999,38.0591743
2021-00046174,ACPD,S6-15,2021-09-15T17:28:12Z,Shots Fired,4700 PLANK RD,VERIFIED,Albemarle County,Shots Fired,4700 PLANK RD Albemarle County,-78.6500229,37.9573764
2021-00026177,CPD,CASE,2021-09-15T23:00:04Z,13A,400 GARRETT ST,CASE,Charlottesville,Aggravated Assault,400 GARRETT ST Charlottesville,-78.48163219999999,38.0277482
