school_year,division,school,subgroup,n_students,percent,school_level,school_short
2019-2020,ACPS,Joseph T. Henley Middle,Students with Disabilities,18,19.8,Middle,Henley
2019-2020,ACPS,Joseph T. Henley Middle,Economically Disadvantaged,32,23.4,Middle,Henley
2019-2020,ACPS,Joseph T. Henley Middle,English Learners,4,16.7,Middle,Henley
2019-2020,ACPS,Joseph T. Henley Middle,Homeless,0,0,Middle,Henley
2019-2020,ACPS,Joseph T. Henley Middle,Military Connected,2,8,Middle,Henley
2019-2020,ACPS,Joseph T. Henley Middle,Foster Care,0,0,Middle,Henley
2019-2020,ACPS,Leslie H. Walton Middle,All Students,51,15,Middle,Walton
2019-2020,ACPS,Leslie H. Walton Middle,Asian,0,0,Middle,Walton
2019-2020,ACPS,Leslie H. Walton Middle,Black,1,3,Middle,Walton
2019-2020,ACPS,Leslie H. Walton Middle,Hispanic,2,5.9,Middle,Walton
2019-2020,ACPS,Leslie H. Walton Middle,Native Hawaiian,0,0,Middle,Walton
2019-2020,ACPS,Leslie H. Walton Middle,White,45,18.4,Middle,Walton
2019-2020,ACPS,Leslie H. Walton Middle,Multiple Races,3,13,Middle,Walton
2019-2020,ACPS,Leslie H. Walton Middle,Students with Disabilities,12,22.6,Middle,Walton
2019-2020,ACPS,Leslie H. Walton Middle,Economically Disadvantaged,32,21.8,Middle,Walton
2019-2020,ACPS,Leslie H. Walton Middle,English Learners,0,0,Middle,Walton
2019-2020,ACPS,Leslie H. Walton Middle,Homeless,0,0,Middle,Walton
2019-2020,ACPS,Leslie H. Walton Middle,Military Connected,0,0,Middle,Walton
2019-2020,ACPS,Leslie H. Walton Middle,Foster Care,0,0,Middle,Walton
2019-2020,ACPS,Mary Carr Greer Elementary,All Students,64,13.1,Elementary,Greer
2019-2020,ACPS,Mary Carr Greer Elementary,Asian,2,5.6,Elementary,Greer
2019-2020,ACPS,Mary Carr Greer Elementary,Black,15,11.5,Elementary,Greer
2019-2020,ACPS,Mary Carr Greer Elementary,Hispanic,25,17.1,Elementary,Greer
2019-2020,ACPS,Mary Carr Greer Elementary,Native Hawaiian,0,0,Elementary,Greer
2019-2020,ACPS,Mary Carr Greer Elementary,White,18,12.9,Elementary,Greer
2019-2020,ACPS,Mary Carr Greer Elementary,Multiple Races,4,11.8,Elementary,Greer
2019-2020,ACPS,Mary Carr Greer Elementary,Students with Disabilities,7,9.6,Elementary,Greer
2019-2020,ACPS,Mary Carr Greer Elementary,Economically Disadvantaged,54,15.4,Elementary,Greer
2019-2020,ACPS,Mary Carr Greer Elementary,English Learners,31,17.1,Elementary,Greer
2019-2020,ACPS,Mary Carr Greer Elementary,Homeless,3,13.6,Elementary,Greer
2019-2020,ACPS,Mary Carr Greer Elementary,Military Connected,0,0,Elementary,Greer
2019-2020,ACPS,Meriwether Lewis Elementary,All Students,34,8.5,Elementary,Meriwether Lewis
2019-2020,ACPS,Meriwether Lewis Elementary,Asian,0,0,Elementary,Meriwether Lewis
2019-2020,ACPS,Meriwether Lewis Elementary,Black,0,0,Elementary,Meriwether Lewis
2019-2020,ACPS,Meriwether Lewis Elementary,Hispanic,0,0,Elementary,Meriwether Lewis
2019-2020,ACPS,Meriwether Lewis Elementary,White,29,8.2,Elementary,Meriwether Lewis
2019-2020,ACPS,Meriwether Lewis Elementary,Multiple Races,4,25,Elementary,Meriwether Lewis
2019-2020,ACPS,Meriwether Lewis Elementary,Students with Disabilities,3,8.3,Elementary,Meriwether Lewis
2019-2020,ACPS,Meriwether Lewis Elementary,Economically Disadvantaged,12,23.5,Elementary,Meriwether Lewis
2019-2020,ACPS,Meriwether Lewis Elementary,English Learners,0,0,Elementary,Meriwether Lewis
2019-2020,ACPS,Meriwether Lewis Elementary,Military Connected,1,10,Elementary,Meriwether Lewis
2019-2020,ACPS,Monticello High,All Students,188,15.7,High,MHS
2019-2020,ACPS,Monticello High,American Indian,0,0,High,MHS
2019-2020,ACPS,Monticello High,Asian,2,5.6,High,MHS
2019-2020,ACPS,Monticello High,Black,15,10.6,High,MHS
2019-2020,ACPS,Monticello High,Hispanic,36,19.7,High,MHS
2019-2020,ACPS,Monticello High,White,124,16.5,High,MHS
2019-2020,ACPS,Monticello High,Multiple Races,11,13.6,High,MHS
2019-2020,ACPS,Monticello High,Students with Disabilities,36,20.7,High,MHS
2019-2020,ACPS,Monticello High,Economically Disadvantaged,105,25.9,High,MHS
2019-2020,ACPS,Monticello High,English Learners,19,21.8,High,MHS
2019-2020,ACPS,Monticello High,Homeless,4,26.7,High,MHS
2019-2020,ACPS,Monticello High,Military Connected,0,0,High,MHS
2019-2020,ACPS,Monticello High,Foster Care,0,0,High,MHS
2019-2020,ACPS,Mortimer Y. Sutherland Middle,All Students,50,8.4,Middle,Lakeside
2019-2020,ACPS,Mortimer Y. Sutherland Middle,American Indian,0,0,Middle,Lakeside
2019-2020,ACPS,Mortimer Y. Sutherland Middle,Asian,4,7.4,Middle,Lakeside
2019-2020,ACPS,Mortimer Y. Sutherland Middle,Black,2,3.5,Middle,Lakeside
2019-2020,ACPS,Mortimer Y. Sutherland Middle,Hispanic,10,15.4,Middle,Lakeside
2019-2020,ACPS,Mortimer Y. Sutherland Middle,White,32,8.3,Middle,Lakeside
2019-2020,ACPS,Mortimer Y. Sutherland Middle,Multiple Races,2,5.9,Middle,Lakeside
2019-2020,ACPS,Mortimer Y. Sutherland Middle,Students with Disabilities,10,14.9,Middle,Lakeside
2019-2020,ACPS,Mortimer Y. Sutherland Middle,Economically Disadvantaged,16,12,Middle,Lakeside
2019-2020,ACPS,Mortimer Y. Sutherland Middle,English Learners,3,6.4,Middle,Lakeside
2019-2020,ACPS,Mortimer Y. Sutherland Middle,Homeless,0,0,Middle,Lakeside
2019-2020,ACPS,Mortimer Y. Sutherland Middle,Military Connected,3,8.6,Middle,Lakeside
2019-2020,ACPS,Murray High,All Students,13,15.7,High,Community Lab
2019-2020,ACPS,Murray High,American Indian,0,0,High,Community Lab
2019-2020,ACPS,Murray High,Asian,0,0,High,Community Lab
2019-2020,ACPS,Murray High,Black,0,0,High,Community Lab
2019-2020,ACPS,Murray High,Hispanic,0,0,High,Community Lab
2019-2020,ACPS,Murray High,White,12,19.4,High,Community Lab
2019-2020,ACPS,Murray High,Multiple Races,0,0,High,Community Lab
2019-2020,ACPS,Murray High,Students with Disabilities,5,18.5,High,Community Lab
2019-2020,ACPS,Murray High,Economically Disadvantaged,4,17.4,High,Community Lab
2019-2020,ACPS,Murray High,Homeless,0,0,High,Community Lab
2019-2020,ACPS,Murray High,Military Connected,0,0,High,Community Lab
2019-2020,ACPS,Murray High,Foster Care,0,0,High,Community Lab
2019-2020,ACPS,Paul H. Cale Elementary,All Students,64,8.8,Elementary,Mountain View
2019-2020,ACPS,Paul H. Cale Elementary,Asian,5,26.3,Elementary,Mountain View
2019-2020,ACPS,Paul H. Cale Elementary,Black,7,8.4,Elementary,Mountain View
2019-2020,ACPS,Paul H. Cale Elementary,Hispanic,23,10.1,Elementary,Mountain View
2019-2020,ACPS,Paul H. Cale Elementary,Native Hawaiian,0,0,Elementary,Mountain View
2019-2020,ACPS,Paul H. Cale Elementary,White,22,6.5,Elementary,Mountain View
2019-2020,ACPS,Paul H. Cale Elementary,Multiple Races,7,11.7,Elementary,Mountain View
2019-2020,ACPS,Paul H. Cale Elementary,Students with Disabilities,12,11.8,Elementary,Mountain View
2019-2020,ACPS,Paul H. Cale Elementary,Economically Disadvantaged,44,13.8,Elementary,Mountain View
2019-2020,ACPS,Paul H. Cale Elementary,English Learners,16,10.3,Elementary,Mountain View
2019-2020,ACPS,Paul H. Cale Elementary,Homeless,5,26.3,Elementary,Mountain View
2019-2020,ACPS,Paul H. Cale Elementary,Military Connected,1,5.6,Elementary,Mountain View
2019-2020,ACPS,Paul H. Cale Elementary,Foster Care,0,0,Elementary,Mountain View
2019-2020,ACPS,Red Hill Elementary,All Students,23,11.9,Elementary,Red Hill
2019-2020,ACPS,Red Hill Elementary,Black,1,7.7,Elementary,Red Hill
2019-2020,ACPS,Red Hill Elementary,Hispanic,6,21.4,Elementary,Red Hill
2019-2020,ACPS,Red Hill Elementary,White,15,10.6,Elementary,Red Hill
2019-2020,ACPS,Red Hill Elementary,Multiple Races,1,8.3,Elementary,Red Hill
2019-2020,ACPS,Red Hill Elementary,Students with Disabilities,6,15.8,Elementary,Red Hill
2019-2020,ACPS,Red Hill Elementary,Economically Disadvantaged,20,18.2,Elementary,Red Hill
2019-2020,ACPS,Red Hill Elementary,English Learners,0,0,Elementary,Red Hill
2019-2020,ACPS,Red Hill Elementary,Homeless,0,0,Elementary,Red Hill
2019-2020,ACPS,Red Hill Elementary,Military Connected,0,0,Elementary,Red Hill
2019-2020,ACPS,Red Hill Elementary,Foster Care,0,0,Elementary,Red Hill
2019-2020,ACPS,Scottsville Elementary,All Students,25,11.6,Elementary,Scottsville
2019-2020,ACPS,Scottsville Elementary,Black,0,0,Elementary,Scottsville
2019-2020,ACPS,Scottsville Elementary,Hispanic,2,14.3,Elementary,Scottsville
2019-2020,ACPS,Scottsville Elementary,White,21,12.4,Elementary,Scottsville
2019-2020,ACPS,Scottsville Elementary,Multiple Races,2,16.7,Elementary,Scottsville
2019-2020,ACPS,Scottsville Elementary,Students with Disabilities,3,10.7,Elementary,Scottsville
2019-2020,ACPS,Scottsville Elementary,Economically Disadvantaged,11,11.1,Elementary,Scottsville
2019-2020,ACPS,Scottsville Elementary,English Learners,0,0,Elementary,Scottsville
2019-2020,ACPS,Scottsville Elementary,Homeless,0,0,Elementary,Scottsville
2019-2020,ACPS,Scottsville Elementary,Military Connected,0,0,Elementary,Scottsville
2019-2020,ACPS,Stone Robinson Elementary,All Students,46,9.7,Elementary,Stone Robinson
2019-2020,ACPS,Stone Robinson Elementary,Asian,2,7.7,Elementary,Stone Robinson
2019-2020,ACPS,Stone Robinson Elementary,Black,5,13.9,Elementary,Stone Robinson
2019-2020,ACPS,Stone Robinson Elementary,Hispanic,8,19.5,Elementary,Stone Robinson
2019-2020,ACPS,Stone Robinson Elementary,Native Hawaiian,0,0,Elementary,Stone Robinson
2019-2020,ACPS,Stone Robinson Elementary,White,29,8.6,Elementary,Stone Robinson
2019-2020,ACPS,Stone Robinson Elementary,Multiple Races,2,5.6,Elementary,Stone Robinson
2019-2020,ACPS,Stone Robinson Elementary,Students with Disabilities,6,10,Elementary,Stone Robinson
2019-2020,ACPS,Stone Robinson Elementary,Economically Disadvantaged,27,19.9,Elementary,Stone Robinson
2019-2020,ACPS,Stone Robinson Elementary,English Learners,3,12.5,Elementary,Stone Robinson
2019-2020,ACPS,Stone Robinson Elementary,Homeless,0,0,Elementary,Stone Robinson
2019-2020,ACPS,Stone Robinson Elementary,Military Connected,1,6.7,Elementary,Stone Robinson
2019-2020,ACPS,Stone Robinson Elementary,Foster Care,0,0,Elementary,Stone Robinson
2019-2020,ACPS,Stony Point Elementary,All Students,20,8.7,Elementary,Stony Point
2019-2020,ACPS,Stony Point Elementary,Asian,0,0,Elementary,Stony Point
2019-2020,ACPS,Stony Point Elementary,Black,4,12.5,Elementary,Stony Point
2019-2020,ACPS,Stony Point Elementary,Hispanic,3,9.1,Elementary,Stony Point
2019-2020,ACPS,Stony Point Elementary,White,9,7,Elementary,Stony Point
2019-2020,ACPS,Stony Point Elementary,Multiple Races,4,13.3,Elementary,Stony Point
2019-2020,ACPS,Stony Point Elementary,Students with Disabilities,4,18.2,Elementary,Stony Point
2019-2020,ACPS,Stony Point Elementary,Economically Disadvantaged,13,16,Elementary,Stony Point
2019-2020,ACPS,Stony Point Elementary,English Learners,2,11.1,Elementary,Stony Point
2019-2020,ACPS,Stony Point Elementary,Homeless,0,0,Elementary,Stony Point
2019-2020,ACPS,Stony Point Elementary,Military Connected,0,0,Elementary,Stony Point
2019-2020,ACPS,Stony Point Elementary,Foster Care,0,0,Elementary,Stony Point
2019-2020,ACPS,Virginia L. Murray Elementary,All Students,12,4.8,Elementary,Va Murray
2019-2020,ACPS,Virginia L. Murray Elementary,American Indian,0,0,Elementary,Va Murray
2019-2020,ACPS,Virginia L. Murray Elementary,Asian,0,0,Elementary,Va Murray
2019-2020,ACPS,Virginia L. Murray Elementary,Black,0,0,Elementary,Va Murray
2019-2020,ACPS,Virginia L. Murray Elementary,Hispanic,3,25,Elementary,Va Murray
2019-2020,ACPS,Virginia L. Murray Elementary,Native Hawaiian,0,0,Elementary,Va Murray
2019-2020,ACPS,Virginia L. Murray Elementary,White,8,4.2,Elementary,Va Murray
2019-2020,ACPS,Virginia L. Murray Elementary,Multiple Races,1,4.2,Elementary,Va Murray
2019-2020,ACPS,Virginia L. Murray Elementary,Students with Disabilities,1,4.5,Elementary,Va Murray
2019-2020,ACPS,Virginia L. Murray Elementary,Economically Disadvantaged,1,6.3,Elementary,Va Murray
2019-2020,ACPS,Virginia L. Murray Elementary,English Learners,0,0,Elementary,Va Murray
2019-2020,ACPS,Virginia L. Murray Elementary,Military Connected,0,0,Elementary,Va Murray
2019-2020,ACPS,Western Albemarle High,All Students,97,8.1,High,WAHS
2019-2020,ACPS,Western Albemarle High,American Indian,0,0,High,WAHS
2019-2020,ACPS,Western Albemarle High,Asian,1,3.3,High,WAHS
2019-2020,ACPS,Western Albemarle High,Black,3,14.3,High,WAHS
2019-2020,ACPS,Western Albemarle High,Hispanic,1,1.7,High,WAHS
2019-2020,ACPS,Western Albemarle High,Native Hawaiian,0,0,High,WAHS
2019-2020,ACPS,Western Albemarle High,White,87,8.4,High,WAHS
2019-2020,ACPS,Western Albemarle High,Multiple Races,5,12.5,High,WAHS
2019-2020,ACPS,Western Albemarle High,Students with Disabilities,19,14.4,High,WAHS
2019-2020,ACPS,Western Albemarle High,Economically Disadvantaged,31,20.3,High,WAHS
2019-2020,ACPS,Western Albemarle High,English Learners,0,0,High,WAHS
2019-2020,ACPS,Western Albemarle High,Military Connected,3,11.5,High,WAHS
2019-2020,ACPS,Western Albemarle High,Foster Care,0,0,High,WAHS
2019-2020,ACPS,Woodbrook Elementary,All Students,64,12,Elementary,Woodbrook
2019-2020,ACPS,Woodbrook Elementary,Asian,10,21.3,Elementary,Woodbrook
2019-2020,ACPS,Woodbrook Elementary,Black,25,15.9,Elementary,Woodbrook
2019-2020,ACPS,Woodbrook Elementary,Hispanic,16,11.4,Elementary,Woodbrook
2019-2020,ACPS,Woodbrook Elementary,White,10,6.3,Elementary,Woodbrook
2019-2020,ACPS,Woodbrook Elementary,Multiple Races,3,10,Elementary,Woodbrook
2019-2020,ACPS,Woodbrook Elementary,Students with Disabilities,9,14.5,Elementary,Woodbrook
2019-2020,ACPS,Woodbrook Elementary,Economically Disadvantaged,52,14.7,Elementary,Woodbrook
2019-2020,ACPS,Woodbrook Elementary,English Learners,20,13.1,Elementary,Woodbrook
2019-2020,ACPS,Woodbrook Elementary,Homeless,6,42.9,Elementary,Woodbrook
2019-2020,ACPS,Woodbrook Elementary,Military Connected,1,6.7,Elementary,Woodbrook
2019-2020,ACPS,Woodbrook Elementary,Foster Care,0,0,Elementary,Woodbrook
2019-2020,CCS,Buford Middle,All Students,76,14.4,Middle,Buford
2019-2020,CCS,Buford Middle,Asian,0,0,Middle,Buford
2019-2020,CCS,Buford Middle,Black,42,21.8,Middle,Buford
2019-2020,CCS,Buford Middle,Hispanic,11,12.9,Middle,Buford
2019-2020,CCS,Buford Middle,White,14,7.5,Middle,Buford
2019-2020,CCS,Buford Middle,Multiple Races,9,25,Middle,Buford
2019-2020,CCS,Buford Middle,Students with Disabilities,10,12.3,Middle,Buford
2019-2020,CCS,Buford Middle,Economically Disadvantaged,63,21.1,Middle,Buford
2019-2020,CCS,Buford Middle,English Learners,7,9,Middle,Buford
2019-2020,CCS,Buford Middle,Homeless,0,0,Middle,Buford
2019-2020,CCS,Buford Middle,Military Connected,0,0,Middle,Buford
2019-2020,CCS,Buford Middle,Foster Care,0,0,Middle,Buford
2019-2020,CCS,Burnley-Moran Elementary,All Students,31,9,Elementary,Burnley-Moran
2019-2020,CCS,Burnley-Moran Elementary,Asian,0,0,Elementary,Burnley-Moran
2019-2020,CCS,Burnley-Moran Elementary,Black,8,10.7,Elementary,Burnley-Moran
2019-2020,CCS,Burnley-Moran Elementary,Hispanic,6,14.3,Elementary,Burnley-Moran
2019-2020,CCS,Burnley-Moran Elementary,White,15,7.8,Elementary,Burnley-Moran
2019-2020,CCS,Burnley-Moran Elementary,Multiple Races,2,7.7,Elementary,Burnley-Moran
2019-2020,CCS,Burnley-Moran Elementary,Students with Disabilities,5,11.9,Elementary,Burnley-Moran
2019-2020,CCS,Burnley-Moran Elementary,Economically Disadvantaged,20,13.9,Elementary,Burnley-Moran
2019-2020,CCS,Burnley-Moran Elementary,English Learners,5,12.2,Elementary,Burnley-Moran
2019-2020,CCS,Burnley-Moran Elementary,Homeless,0,0,Elementary,Burnley-Moran
2019-2020,CCS,Burnley-Moran Elementary,Military Connected,0,0,Elementary,Burnley-Moran
2019-2020,CCS,Burnley-Moran Elementary,Foster Care,0,0,Elementary,Burnley-Moran
2019-2020,CCS,Charlottesville High,All Students,154,12.7,High,CHS
2019-2020,CCS,Charlottesville High,American Indian,0,0,High,CHS
2019-2020,CCS,Charlottesville High,Asian,6,9,High,CHS
2019-2020,CCS,Charlottesville High,Black,70,20.1,High,CHS
2019-2020,CCS,Charlottesville High,Hispanic,27,17.3,High,CHS
2019-2020,CCS,Charlottesville High,White,38,6.8,High,CHS
2019-2020,CCS,Charlottesville High,Multiple Races,13,16.7,High,CHS
2019-2020,CCS,Charlottesville High,Students with Disabilities,28,16.7,High,CHS
2019-2020,CCS,Charlottesville High,Economically Disadvantaged,114,20.5,High,CHS
2019-2020,CCS,Charlottesville High,English Learners,25,18.5,High,CHS
2019-2020,CCS,Charlottesville High,Homeless,9,64.3,High,CHS
2019-2020,CCS,Charlottesville High,Military Connected,0,0,High,CHS
2019-2020,CCS,Charlottesville High,Foster Care,0,0,High,CHS
2019-2020,CCS,Clark Elementary,All Students,20,7.7,Elementary,Clark
2019-2020,CCS,Clark Elementary,Asian,0,0,Elementary,Clark
2019-2020,CCS,Clark Elementary,Black,11,12.9,Elementary,Clark
2019-2020,CCS,Clark Elementary,Hispanic,1,2.9,Elementary,Clark
2019-2020,CCS,Clark Elementary,White,6,6.7,Elementary,Clark
2019-2020,CCS,Clark Elementary,Multiple Races,2,6.7,Elementary,Clark
2019-2020,CCS,Clark Elementary,Students with Disabilities,8,18.6,Elementary,Clark
2019-2020,CCS,Clark Elementary,Economically Disadvantaged,18,10,Elementary,Clark
2019-2020,CCS,Clark Elementary,English Learners,3,4.5,Elementary,Clark
2019-2020,CCS,Clark Elementary,Homeless,0,0,Elementary,Clark
2019-2020,CCS,Clark Elementary,Foster Care,0,0,Elementary,Clark
2019-2020,CCS,Greenbrier Elementary,All Students,23,6.4,Elementary,Greenbrier
2019-2020,CCS,Greenbrier Elementary,Asian,6,15.4,Elementary,Greenbrier
2019-2020,CCS,Greenbrier Elementary,Black,4,7,Elementary,Greenbrier
2019-2020,CCS,Greenbrier Elementary,Hispanic,2,5.1,Elementary,Greenbrier
2019-2020,CCS,Greenbrier Elementary,White,8,4.3,Elementary,Greenbrier
2019-2020,CCS,Greenbrier Elementary,Multiple Races,3,7.5,Elementary,Greenbrier
2019-2020,CCS,Greenbrier Elementary,Students with Disabilities,3,10,Elementary,Greenbrier
2019-2020,CCS,Greenbrier Elementary,Economically Disadvantaged,12,7.4,Elementary,Greenbrier
2019-2020,CCS,Greenbrier Elementary,English Learners,7,6.4,Elementary,Greenbrier
2019-2020,CCS,Greenbrier Elementary,Military Connected,0,0,Elementary,Greenbrier
2019-2020,CCS,Jackson-Via Elementary,All Students,37,12,Elementary,Jackson-Via
2019-2020,CCS,Jackson-Via Elementary,American Indian,0,0,Elementary,Jackson-Via
2019-2020,CCS,Jackson-Via Elementary,Asian,0,0,Elementary,Jackson-Via
2019-2020,CCS,Jackson-Via Elementary,Black,19,15,Elementary,Jackson-Via
2019-2020,CCS,Jackson-Via Elementary,Hispanic,4,10.3,Elementary,Jackson-Via
2019-2020,CCS,Jackson-Via Elementary,White,9,9.5,Elementary,Jackson-Via
2019-2020,CCS,Jackson-Via Elementary,Multiple Races,5,14.7,Elementary,Jackson-Via
2019-2020,CCS,Jackson-Via Elementary,Students with Disabilities,17,29.8,Elementary,Jackson-Via
2019-2020,CCS,Jackson-Via Elementary,Economically Disadvantaged,29,17.4,Elementary,Jackson-Via
2019-2020,CCS,Jackson-Via Elementary,English Learners,3,7.3,Elementary,Jackson-Via
2019-2020,CCS,Jackson-Via Elementary,Homeless,0,0,Elementary,Jackson-Via
2019-2020,CCS,Jackson-Via Elementary,Military Connected,0,0,Elementary,Jackson-Via
2019-2020,CCS,Jackson-Via Elementary,Foster Care,0,0,Elementary,Jackson-Via
2019-2020,CCS,Johnson Elementary,All Students,20,6.4,Elementary,Johnson
2019-2020,CCS,Johnson Elementary,Asian,0,0,Elementary,Johnson
2019-2020,CCS,Johnson Elementary,Black,6,5.6,Elementary,Johnson
2019-2020,CCS,Johnson Elementary,Hispanic,4,10.8,Elementary,Johnson
2019-2020,CCS,Johnson Elementary,White,6,4.7,Elementary,Johnson
2019-2020,CCS,Johnson Elementary,Multiple Races,2,5.9,Elementary,Johnson
2019-2020,CCS,Johnson Elementary,Students with Disabilities,2,7.1,Elementary,Johnson
2019-2020,CCS,Johnson Elementary,Economically Disadvantaged,13,10.2,Elementary,Johnson
2019-2020,CCS,Johnson Elementary,English Learners,2,4.9,Elementary,Johnson
2019-2020,CCS,Johnson Elementary,Homeless,0,0,Elementary,Johnson
2019-2020,CCS,Johnson Elementary,Military Connected,0,0,Elementary,Johnson
2019-2020,CCS,Johnson Elementary,Foster Care,0,0,Elementary,Johnson
2019-2020,CCS,Venable Elementary,All Students,12,3.8,Elementary,Venable
2019-2020,CCS,Venable Elementary,Asian,2,6.9,Elementary,Venable
2019-2020,CCS,Venable Elementary,Black,2,3.3,Elementary,Venable
2019-2020,CCS,Venable Elementary,Hispanic,0,0,Elementary,Venable
2019-2020,CCS,Venable Elementary,White,6,3.1,Elementary,Venable
2019-2020,CCS,Venable Elementary,Multiple Races,2,9.5,Elementary,Venable
2019-2020,CCS,Venable Elementary,Students with Disabilities,2,9.5,Elementary,Venable
2019-2020,CCS,Venable Elementary,Economically Disadvantaged,7,8.2,Elementary,Venable
2019-2020,CCS,Venable Elementary,English Learners,2,7.1,Elementary,Venable
2019-2020,CCS,Venable Elementary,Homeless,0,0,Elementary,Venable
2019-2020,CCS,Venable Elementary,Military Connected,0,0,Elementary,Venable
2019-2020,CCS,Venable Elementary,Foster Care,0,0,Elementary,Venable
2019-2020,CCS,Walker Upper Elementary,All Students,75,11.2,Middle,Walker
2019-2020,CCS,Walker Upper Elementary,Asian,0,0,Middle,Walker
2019-2020,CCS,Walker Upper Elementary,Black,36,14.1,Middle,Walker
2019-2020,CCS,Walker Upper Elementary,Hispanic,11,12.1,Middle,Walker
2019-2020,CCS,Walker Upper Elementary,White,20,9,Middle,Walker
2019-2020,CCS,Walker Upper Elementary,Multiple Races,8,13.6,Middle,Walker
2019-2020,CCS,Walker Upper Elementary,Students with Disabilities,15,13,Middle,Walker
2019-2020,CCS,Walker Upper Elementary,Economically Disadvantaged,57,14,Middle,Walker
2019-2020,CCS,Walker Upper Elementary,English Learners,8,6.2,Middle,Walker
2019-2020,CCS,Walker Upper Elementary,Homeless,0,0,Middle,Walker
2019-2020,CCS,Walker Upper Elementary,Military Connected,0,0,Middle,Walker
2019-2020,CCS,Walker Upper Elementary,Foster Care,0,0,Middle,Walker
2020-2021,ACPS,Agnor-Hurt Elementary,All Students,47,11.5,Elementary,Agnor-Hurt
2020-2021,ACPS,Agnor-Hurt Elementary,Asian,2,9.5,Elementary,Agnor-Hurt
2020-2021,ACPS,Agnor-Hurt Elementary,Black,19,20.4,Elementary,Agnor-Hurt
2020-2021,ACPS,Agnor-Hurt Elementary,Hispanic,19,18.4,Elementary,Agnor-Hurt
2020-2021,ACPS,Agnor-Hurt Elementary,Native Hawaiian,0,0,Elementary,Agnor-Hurt
2020-2021,ACPS,Agnor-Hurt Elementary,White,2,1.4,Elementary,Agnor-Hurt
2020-2021,ACPS,Agnor-Hurt Elementary,Multiple Races,4,8.2,Elementary,Agnor-Hurt
2020-2021,ACPS,Agnor-Hurt Elementary,Students with Disabilities,5,11.1,Elementary,Agnor-Hurt
2020-2021,ACPS,Agnor-Hurt Elementary,Economically Disadvantaged,43,18.5,Elementary,Agnor-Hurt
2020-2021,ACPS,Agnor-Hurt Elementary,English Learners,16,16.2,Elementary,Agnor-Hurt
2020-2021,ACPS,Agnor-Hurt Elementary,Military Connected,0,0,Elementary,Agnor-Hurt
2020-2021,ACPS,Albemarle High,All Students,62,3.3,High,AHS
2020-2021,ACPS,Albemarle High,American Indian,0,0,High,AHS
2020-2021,ACPS,Albemarle High,Asian,1,0.6,High,AHS
2020-2021,ACPS,Albemarle High,Black,20,6.7,High,AHS
2020-2021,ACPS,Albemarle High,Hispanic,10,3.3,High,AHS
2020-2021,ACPS,Albemarle High,White,25,2.5,High,AHS
2020-2021,ACPS,Albemarle High,Multiple Races,6,5.4,High,AHS
2020-2021,ACPS,Albemarle High,Students with Disabilities,1,0.4,High,AHS
2020-2021,ACPS,Albemarle High,Economically Disadvantaged,34,5,High,AHS
2020-2021,ACPS,Albemarle High,English Learners,0,0,High,AHS
2020-2021,ACPS,Albemarle High,Homeless,1,7.7,High,AHS
2020-2021,ACPS,Albemarle High,Military Connected,1,2.2,High,AHS
2020-2021,ACPS,Albemarle High,Foster Care,0,0,High,AHS
2020-2021,ACPS,Baker-Butler Elem,All Students,22,3.5,Elementary,Baker-Butler
2020-2021,ACPS,Baker-Butler Elem,Asian,1,2.2,Elementary,Baker-Butler
2020-2021,ACPS,Baker-Butler Elem,Black,5,8.6,Elementary,Baker-Butler
2020-2021,ACPS,Baker-Butler Elem,Hispanic,2,2.1,Elementary,Baker-Butler
2020-2021,ACPS,Baker-Butler Elem,White,12,3.3,Elementary,Baker-Butler
2020-2021,ACPS,Baker-Butler Elem,Multiple Races,2,3.5,Elementary,Baker-Butler
2020-2021,ACPS,Baker-Butler Elem,Students with Disabilities,6,7.7,Elementary,Baker-Butler
2020-2021,ACPS,Baker-Butler Elem,Economically Disadvantaged,13,7.1,Elementary,Baker-Butler
2020-2021,ACPS,Baker-Butler Elem,English Learners,1,1.3,Elementary,Baker-Butler
2020-2021,ACPS,Baker-Butler Elem,Homeless,0,0,Elementary,Baker-Butler
2020-2021,ACPS,Baker-Butler Elem,Military Connected,0,0,Elementary,Baker-Butler
2020-2021,ACPS,Baker-Butler Elem,Foster Care,0,0,Elementary,Baker-Butler
2020-2021,ACPS,Broadus Wood Elementary,All Students,10,3.9,Elementary,Broadus Wood
2020-2021,ACPS,Broadus Wood Elementary,Asian,0,0,Elementary,Broadus Wood
2020-2021,ACPS,Broadus Wood Elementary,Black,0,0,Elementary,Broadus Wood
2020-2021,ACPS,Broadus Wood Elementary,Hispanic,2,12.5,Elementary,Broadus Wood
2020-2021,ACPS,Broadus Wood Elementary,White,7,3.2,Elementary,Broadus Wood
2020-2021,ACPS,Broadus Wood Elementary,Multiple Races,0,0,Elementary,Broadus Wood
2020-2021,ACPS,Broadus Wood Elementary,Students with Disabilities,4,12.9,Elementary,Broadus Wood
2020-2021,ACPS,Broadus Wood Elementary,Economically Disadvantaged,8,14.8,Elementary,Broadus Wood
2020-2021,ACPS,Broadus Wood Elementary,English Learners,0,0,Elementary,Broadus Wood
2020-2021,ACPS,Broadus Wood Elementary,Homeless,0,0,Elementary,Broadus Wood
2020-2021,ACPS,Broadus Wood Elementary,Military Connected,0,0,Elementary,Broadus Wood
